Расчет траектории ракеты
Время расчета: 2025-07-06 15:48:11

Параметры ракеты:
diameter,0.06
m0,4.0
m_final,3.0
thrust,600.0
burn_time,1.97
g0,9.80665
Площадь поперечного сечения (A):,0.002827 м²

Ключевые результаты:
Скорость в конце активной фазы (м/с),314.65
Высота в конце активной фазы (м),297.60
Максимальная скорость (м/с),314.65
Время макс. скорости (с),1.97
Высота апогея (м),3912.21
Время апогея (с),28.03
Максимальная сила сопротивления (Н),92.51
Время макс. сопротивления (с),1.97
Максимальное число Маха,0.93
Время макс. числа Маха (с),1.97
Максимальный коэффициент Cd,0.5552
Время макс. Cd (с),1.97
Максимальное ускорение (м/с²),176.17
Время макс. ускорения (с),1.73
Площадь поперечного сечения (м²),0.002827

Детальные данные полета:
Время (с),Высота (м),Скорость (м/с),Ускорение (м/с²),Масса (кг),Сила сопротивления (Н),Коэф. сопротивления (Cd),Число Маха (M),Плотность воздуха (кг/м³),Скорость звука (м/с),Гравитация (м/с²)
10.589443817197836,2374.788685750797,182.60522382027443,-12.083497095526042,3.0,6.85246158791469,0.15,0.5515828266886031,0.9690954836184992,331.0567606256611,9.79934323288781
10.639443817197836,2383.9038497501747,182.00147952473066,-12.066292695330564,3.0,6.800932476934138,0.15,0.5498188673334778,0.9681997820132318,331.0207967351229,9.799315203019184
10.689443817197837,2392.9888479954298,181.39859275997736,-12.049195741197188,3.0,6.749725425494482,0.15,0.5480569248531021,0.9673076749815553,330.9849479752461,9.79928726603236
10.739443817197838,2402.0437232290997,180.79655817206242,-12.032205500194271,3.0,6.698838235198662,0.15,0.5462969857808487,0.9664191517564106,330.9492142147575,9.799259421794718
10.789443817197839,2411.068517926939,180.1953704435147,-12.015321246002646,3.0,6.648268727484556,0.15,0.5445390367460935,0.9655342016356308,330.9135953232602,9.79923167017446
10.83944381719784,2420.0632742997327,179.59502429301514,-11.998542258846367,3.0,6.598014743417277,0.15,0.5427830644733613,0.9646528139815037,330.8780911712276,9.799204011040608
10.88944381719784,2429.0280342950973,178.99551447507136,-11.981867825424354,3.0,6.548074143484078,0.15,0.5410290557814812,0.9637749782203426,330.8427016299966,9.799176444262995
10.93944381719784,2437.9628395992636,178.39683577969552,-11.965297238842878,3.0,6.4984448073918255,0.15,0.5392769975827487,0.9629006838420594,330.8074265717622,9.799148969712268
10.989443817197841,2446.867731638844,177.79898303208574,-11.948829798548879,3.0,6.449124633866979,0.15,0.5375268768820991,0.9620299203997412,330.77226586957084,9.799121587259885
11.039443817197842,2455.742751582584,177.2019510923106,-11.932464810264104,3.0,6.400111540458054,0.15,0.5357786807762868,0.9611626775092331,330.7372193973147,9.799094296778087
11.089443817197843,2464.587940343097,176.60573485499705,-11.916201585920101,3.0,6.351403463340538,0.15,0.5340323964530751,0.96029894484872,330.7022870297256,9.799067098139922
11.139443817197844,2473.403338578587,176.01032924902165,-11.900039443593966,3.0,6.302998357124236,0.15,0.5322880111904333,0.9594387121583179,330.66746864236916,9.799039991219221
11.189443817197844,2482.18898669455,175.41572923720472,-11.883977707444926,3.0,6.254894194662983,0.15,0.5305455123557422,0.958581969239667,330.6327641116389,9.799012975890598
11.239443817197845,2490.944924845466,174.82192981600787,-11.868015707651681,3.0,6.207088966866692,0.15,0.5288048874050079,0.9577287059555245,330.5981733147504,9.79898605202945
11.289443817197846,2499.6711929364733,174.2289260152346,-11.852152780350522,3.0,6.159580682515758,0.15,0.5270661238820834,0.9568789122293685,330.5636961297356,9.798959219511936
11.339443817197846,2508.3678306250263,173.63671289773396,-11.836388267574227,3.0,6.1123673680777,0.15,0.5253292094178988,0.9560325780449991,330.52933243543697,9.798932478214994
11.389443817197847,2517.0348773225433,173.04528555910716,-11.820721517191679,3.0,6.065447067526093,0.15,0.5235941317296982,0.9551896934461478,330.495082111502,9.798905828016315
11.439443817197848,2525.6723721960348,172.4546391274173,-11.805151882848248,3.0,6.01881784216168,0.15,0.5218608786202846,0.9543502485360865,330.46094503837753,9.798879268794355
11.489443817197849,2534.2803541697203,171.8647687629021,-11.789678723906881,3.0,5.972477770435716,0.15,0.5201294379772748,0.9535142334772427,330.42692109730405,9.79885280042831
11.53944381719785,2542.8588619266293,171.2756696576893,-11.774301405389952,3.0,5.926424947775411,0.15,0.5183997977723572,0.9526816384908157,330.39301017031045,9.798826422798149
11.58944381719785,2551.4079339101895,170.68733703551533,-11.759019297921755,3.0,5.880657486411609,0.15,0.5166719460605614,0.9518524538564037,330.3592121402084,9.798800135784552
11.63944381719785,2559.927608325799,170.09976615144652,-11.743831777671756,3.0,5.835173515208406,0.15,0.5149458709795334,0.9510266699116192,330.32552689058684,9.798773939268955
11.689443817197851,2568.4179231423877,169.51295229160323,-11.728738226298528,3.0,5.789971179495006,0.15,0.5132215607488173,0.9502042770517267,330.2919543058068,9.798747833133525
11.739443817197852,2576.8789160939614,168.92689077288682,-11.713738030894314,3.0,5.745048640899492,0.15,0.511499003669146,0.9493852657292681,330.258494270996,9.79872181726115
11.789443817197853,2585.3106246811353,168.3415769427094,-11.698830583930347,3.0,5.7004040771846896,0.15,0.5097781881217378,0.9485696264537001,330.22514667204337,9.79869589153545
11.839443817197854,2593.7130861726523,167.7570061787261,-11.68401528320275,3.0,5.656035682085969,0.15,0.5080591025675999,0.9477573497910329,330.1919113955943,9.798670055840761
11.889443817197854,2602.0863376068887,167.1731738885703,-11.669291531779137,3.0,5.6119416651510265,0.15,0.5063417355468397,0.9469484263634687,330.1587883290449,9.798644310062128
11.939443817197855,2610.430415793346,166.5900755095912,-11.654658737945844,3.0,5.5681202515816,0.15,0.5046260756779822,0.9461428468490498,330.1257773605373,9.798618654085312
11.989443817197856,2618.7453573141315,166.00770650859445,-11.640116315155797,3.0,5.524569682077087,0.15,0.5029121116572948,0.9453406019813051,330.09287837895425,9.79859308779677
12.039443817197856,2627.031198525423,165.4260623815849,-11.625663681977015,3.0,5.481288212680042,0.15,0.501199832258118,0.9445416825489023,330.06009127391417,9.798567611083667
12.089443817197857,2635.2879755589233,164.84513865351215,-11.611300262041695,3.0,5.438274114623497,0.15,0.49948922633020343,0.9437460793952972,330.02741593576627,9.798542223833863
12.139443817197858,2643.5157243233016,164.26493087801865,-11.597025483995967,3.0,5.395525674180185,0.15,0.4977802827990582,0.9429537834183982,329.9948522555852,9.798516925935905
12.189443817197859,2651.714480505621,163.68543463719027,-11.5828387814502,3.0,5.3530411925134995,0.15,0.49607299066529525,0.9421647855702224,329.96240012516677,9.798491717279033
12.23944381719786,2659.8842795727546,163.10664554130923,-11.56873959292991,3.0,5.310818985530254,0.15,0.4943673390039908,0.9413790768565586,329.9300594370223,9.798466597753158
12.28944381719786,2668.0251567727896,162.52855922860965,-11.55472736182729,3.0,5.26885738373522,0.15,0.4926633169640476,0.9405966483366375,329.8978300843744,9.798441567248883
12.33944381719786,2676.137147136419,161.95117136503532,-11.540801536353259,3.0,5.227154732087348,0.15,0.49096091376756457,0.939817491122795,329.86571196115176,9.798416625657476
12.389443817197861,2684.2202854783204,161.37447764400008,-11.526961569490128,3.0,5.1857093898577595,0.15,0.4892601187092127,0.939041596380151,329.8337049619847,9.798391772870875
12.439443817197862,2692.274606398524,160.79847378615028,-11.513206918944807,3.0,5.144519730489364,0.15,0.4875609211556166,0.9382689553262787,329.80180898220027,9.798367008781685
12.489443817197863,2700.300144283768,160.22315553912978,-11.499537047102567,3.0,5.1035841414581835,0.15,0.4858633105447427,0.9374995592308876,329.77002391781747,9.798342333283173
12.539443817197863,2708.296933308843,159.6485186773472,-11.485951420981362,3.0,5.062901024136301,0.15,0.4841672763852926,0.9367333994155005,329.73834966554296,9.79831774626926
12.589443817197864,2716.265007437925,159.07455900174537,-11.472449512186671,3.0,5.022468793656432,0.15,0.4824728082561032,0.9359704672531419,329.7067861227661,9.798293247634527
12.639443817197865,2724.204400425894,158.5012723395731,-11.459030796866882,3.0,4.9822858787780735,0.15,0.48077989580555186,0.9352107541680185,329.6753331875546,9.798268837274192
12.689443817197866,2732.1151458196473,157.9286545441591,-11.445694755669217,3.0,4.942350721755271,0.15,0.47908852875096747,0.9344542516352142,329.64399075864986,9.798244515084127
12.739443817197866,2739.997276959395,157.3567014946882,-11.432440873696137,3.0,4.9026617782059,0.15,0.4773986968780476,0.933700951180379,329.6127587354627,9.798220280960837
12.789443817197867,2747.8508269799486,156.7854090959796,-11.419268640462304,3.0,4.863217516982498,0.15,0.47571039004028043,0.9329508443794245,329.5816370180687,9.798196134801472
12.839443817197868,2755.675828811996,156.2147732782673,-11.406177549852014,3.0,4.82401642004462,0.15,0.4740235981583733,0.9322039228582208,329.55062550720373,9.798172076503807
12.889443817197868,2763.4723151833687,155.64478999698284,-11.393167100077148,3.0,4.785056982332679,0.15,0.4723383112196854,0.9314601782922994,329.51972410426004,9.798148105966256
12.93944381719787,2771.2403186202946,155.07545523253972,-11.38023679363559,3.0,4.746337711643249,0.15,0.47065451927766727,0.930719602406551,329.4889327112812,9.79812422308784
12.98944381719787,2778.979871448643,154.50676499012033,-11.367386137270174,3.0,4.707857128505857,0.15,0.4689722124513045,0.9299821869749355,329.4582512309585,9.79810042776822
13.03944381719787,2786.691005795156,153.9387152994646,-11.354614641928064,3.0,4.6696137660611825,0.15,0.4672913809245669,0.9292479238201901,329.42767956662647,9.79807671990767
13.089443817197871,2794.3737535886735,153.3713022146609,-11.341921822720616,3.0,4.631606169940662,0.15,0.465612014945864,0.9285168048135322,329.39721762225815,9.798053099407062
13.139443817197872,2802.0281465613434,152.80452181393863,-11.329307198883749,3.0,4.593832898147551,0.15,0.46393410482750386,0.9277888218743845,329.36686530246175,9.798029566167898
13.189443817197873,2809.654216249825,152.23837019946322,-11.316770293738708,3.0,4.556292520939293,0.15,0.4622576409451584,0.92706396697008,329.3366225124758,9.798006120092277
13.239443817197873,2817.251993996479,151.67284349713265,-11.304310634653332,3.0,4.518983620711313,0.15,0.4605826137373333,0.9263422321155871,329.30648915816545,9.797982761082894
13.289443817197874,2824.8215109505513,151.10793785637614,-11.291927753003757,3.0,4.481904791882103,0.15,0.45890901370484244,0.9256236093732241,329.2764651460182,9.797959489043055
13.339443817197875,2832.3627980693427,150.54364944995473,-11.27962118413655,3.0,4.445054640779695,0.15,0.4572368314102883,0.9249080908523896,329.2465503831399,9.797936303876652
13.389443817197876,2839.8758861193714,149.9799744737636,-11.267390467331298,3.0,4.408431785529364,0.15,0.4555660574775463,0.9241956687092782,329.21674477725054,9.797913205488177
13.439443817197876,2847.3608056775242,149.41690914663644,-11.255235145763606,3.0,4.372034855942725,0.15,0.4538966825912539,0.9234863351466189,329.1870482366807,9.797890193782697
13.489443817197877,2854.8175871322,148.85444971015147,-11.243154766468537,3.0,4.335862493408001,0.15,0.45222869749630523,0.9227800824133972,329.1574606703672,9.79786726866587
13.539443817197878,2862.24626068444,148.2925924284395,-11.231148880304488,3.0,4.29991335078163,0.15,0.45056209299735,0.9220769028045892,329.1279819878493,9.797844430043945
